team,group,played,wins,draws,losses,gf,ga,gd,points,team_power,rank
Mexico,A,3,3,0,0,4,1,3,9,0.5599073124022176,1
South Korea,A,3,2,0,1,3,2,1,6,0.5596396803803804,2
Czechia,A,3,1,0,2,1,2,-1,3,0.54132076834265,3
South Africa,A,3,0,0,3,0,3,-3,0,0.21566566145394547,4
Switzerland,B,3,3,0,0,3,0,3,9,0.6009898644990408,1
Canada,B,3,2,0,1,2,1,1,6,0.4770135644086063,2
Bosnia-Herzegovina,B,3,1,0,2,1,2,-1,3,0.38853619383024,3
Qatar,B,3,0,0,3,0,3,-3,0,0.2454198363620075,4
Brazil,C,3,3,0,0,4,0,4,9,0.9035811706650442,1
Morocco,C,3,2,0,1,2,1,1,6,0.6796566363878986,2
Scotland,C,3,1,0,2,1,2,-1,3,0.534316214646087,3
Haiti,C,3,0,0,3,0,4,-4,0,0.20047715664044896,4
United States,D,3,3,0,0,3,0,3,9,0.593408646641282,1
Turkey,D,3,2,0,1,2,1,1,6,0.6343275504770441,2
Paraguay,D,3,1,0,2,1,2,-1,3,0.481431238455592,3
Australia,D,3,0,0,3,0,3,-3,0,0.4456746988584811,4
Germany,E,3,3,0,0,4,0,4,9,0.9173736554131388,1
Ivory Coast,E,3,2,0,1,2,1,1,6,0.5261833400196709,2
Ecuador,E,3,1,0,2,1,2,-1,3,0.49035957414259285,3
Curaçao,E,3,0,0,3,0,4,-4,0,0.1389826861801124,4
Netherlands,F,3,3,0,0,3,0,3,9,0.7342584324828584,1
Japan,F,3,2,0,1,2,1,1,6,0.6105460581557981,2
Sweden,F,3,1,0,2,1,2,-1,3,0.5557480018458009,3
Tunisia,F,3,0,0,3,0,3,-3,0,0.32495026236745256,4
Belgium,G,3,3,0,0,4,0,4,9,0.7525096581894634,1
Iran,G,3,2,0,1,2,1,1,6,0.4578181228728024,2
Egypt,G,3,1,0,2,1,2,-1,3,0.4515996974362792,3
New Zealand,G,3,0,0,3,0,4,-4,0,0.20739005045084863,4
Spain,H,3,3,0,0,5,0,5,9,0.8552373020817023,1
Uruguay,H,3,2,0,1,2,1,1,6,0.6405936307285045,2
Saudi Arabia,H,3,1,0,2,1,3,-2,3,0.35385180892146406,3
Cape Verde,H,3,0,0,3,0,4,-4,0,0.23715258319067925,4
France,I,3,3,0,0,4,0,4,9,0.877620438365587,1
Norway,I,3,2,0,1,2,1,1,6,0.6215258624427161,2
Senegal,I,3,1,0,2,1,2,-1,3,0.6250049411366622,3
Iraq,I,3,0,0,3,0,4,-4,0,0.22729050788237026,4
Argentina,J,3,3,0,0,4,0,4,9,0.8853671108782968,1
Austria,J,3,2,0,1,2,1,1,6,0.6497215662006268,2
Algeria,J,3,1,0,2,1,2,-1,3,0.5318791799561223,3
Jordan,J,3,0,0,3,0,4,-4,0,0.22849532729533914,4
Portugal,K,3,3,0,0,4,0,4,9,0.8006989968866671,1
Colombia,K,3,2,0,1,2,1,1,6,0.5829372271257829,2
DR Congo,K,3,1,0,2,1,2,-1,3,0.40559957373460725,3
Uzbekistan,K,3,0,0,3,0,4,-4,0,0.2845895408142215,4
England,L,3,3,0,0,5,0,5,9,0.8645039324000171,1
Croatia,L,3,2,0,1,2,1,1,6,0.6512007861573951,2
Ghana,L,3,1,0,2,1,3,-2,3,0.35126002875025425,3
Panama,L,3,0,0,3,0,4,-4,0,0.22949322250322512,4
