match_number,stage,home,away,central_score,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,top_5_scorelines
1,Group Stage,Mexico,South Korea,2-1,1.57,1.28,0.44,0.247,0.312,1-1 (11.6%); 2-1 (9.1%); 1-0 (9.1%); 1-2 (7.5%); 0-1 (7.4%)
2,Group Stage,Mexico,South Africa,2-0,2.12,0.94,0.643,0.199,0.158,2-0 (10.5%); 1-0 (9.9%); 2-1 (9.9%); 1-1 (9.4%); 3-0 (7.4%)
3,Group Stage,Mexico,Czechia,1-0,1.53,1.27,0.433,0.25,0.317,1-1 (11.8%); 1-0 (9.3%); 2-1 (9.0%); 0-1 (7.7%); 1-2 (7.5%)
4,Group Stage,South Korea,South Africa,1-0,1.82,0.99,0.568,0.229,0.203,1-0 (11.0%); 1-1 (10.9%); 2-0 (10.0%); 2-1 (9.9%); 3-0 (6.1%)
5,Group Stage,South Korea,Czechia,2-1,1.31,1.34,0.364,0.261,0.375,1-1 (12.4%); 0-1 (9.5%); 1-0 (9.3%); 1-2 (8.3%); 2-1 (8.1%)
6,Group Stage,South Africa,Czechia,0-1,0.96,1.8,0.199,0.23,0.571,0-1 (11.4%); 1-1 (10.9%); 0-2 (10.2%); 1-2 (9.9%); 0-0 (6.3%)
7,Group Stage,Canada,Switzerland,1-1,1.25,1.42,0.331,0.258,0.41,1-1 (12.3%); 0-1 (9.8%); 1-2 (8.7%); 1-0 (8.6%); 2-1 (7.7%)
8,Group Stage,Canada,Qatar,1-0,1.89,0.92,0.602,0.22,0.178,1-0 (11.4%); 2-0 (10.8%); 1-1 (10.5%); 2-1 (9.9%); 3-0 (6.8%)
9,Group Stage,Canada,Bosnia-Herzegovina,1-0,1.64,1.16,0.487,0.245,0.269,1-1 (11.6%); 1-0 (10.0%); 2-1 (9.5%); 2-0 (8.2%); 0-1 (7.1%)
10,Group Stage,Switzerland,Qatar,1-0,1.9,0.81,0.63,0.216,0.154,1-0 (12.6%); 2-0 (12.0%); 1-1 (10.3%); 2-1 (9.7%); 3-0 (7.6%)
11,Group Stage,Switzerland,Bosnia-Herzegovina,1-0,1.64,1.02,0.52,0.246,0.235,1-1 (11.7%); 1-0 (11.5%); 2-1 (9.6%); 2-0 (9.4%); 0-1 (7.1%)
12,Group Stage,Qatar,Bosnia-Herzegovina,0-1,1.06,1.54,0.262,0.255,0.483,1-1 (12.1%); 0-1 (11.4%); 1-2 (9.3%); 0-2 (8.8%); 1-0 (7.9%)
13,Group Stage,Brazil,Morocco,1-0,1.59,1.07,0.493,0.251,0.257,1-1 (11.9%); 1-0 (11.1%); 2-1 (9.5%); 2-0 (8.8%); 0-1 (7.5%)
14,Group Stage,Brazil,Scotland,1-0,1.67,1.0,0.532,0.243,0.225,1-0 (11.6%); 1-1 (11.6%); 2-0 (9.7%); 2-1 (9.7%); 0-0 (6.9%)
15,Group Stage,Brazil,Haiti,2-0,2.26,0.73,0.72,0.175,0.105,2-0 (12.8%); 1-0 (11.4%); 3-0 (9.7%); 2-1 (9.4%); 1-1 (8.3%)
16,Group Stage,Morocco,Scotland,1-1,1.39,1.23,0.408,0.262,0.33,1-1 (12.4%); 1-0 (10.1%); 0-1 (8.9%); 2-1 (8.7%); 1-2 (7.6%)
17,Group Stage,Morocco,Haiti,1-0,1.89,0.9,0.604,0.22,0.176,1-0 (11.6%); 2-0 (10.9%); 1-1 (10.5%); 2-1 (9.9%); 3-0 (6.9%)
18,Group Stage,Scotland,Haiti,1-0,1.75,0.95,0.561,0.235,0.204,1-0 (11.7%); 1-1 (11.2%); 2-0 (10.3%); 2-1 (9.8%); 0-0 (6.7%)
19,Group Stage,United States,Paraguay,1-1,1.38,1.28,0.394,0.26,0.346,1-1 (12.3%); 1-0 (9.7%); 0-1 (8.9%); 2-1 (8.5%); 1-2 (7.9%)
20,Group Stage,United States,Australia,1-0,1.43,1.19,0.427,0.26,0.313,1-1 (12.4%); 1-0 (10.4%); 2-1 (8.9%); 0-1 (8.6%); 2-0 (7.5%)
