team,group,played,wins,draws,losses,gf,ga,gd,points,team_power,rank
Mexico,A,3,3,0,0,10,2,8,9,0.5741859685286997,1
South Africa,A,3,1,1,1,7,8,-1,4,0.19811625433932098,2
South Korea,A,3,1,1,1,4,6,-2,4,0.5348521309732659,3
Czechia,A,3,0,0,3,3,8,-5,0,0.5334600964058911,4
Canada,B,3,2,0,1,6,3,3,6,0.4858327343690806,1
Switzerland,B,3,2,0,1,4,2,2,6,0.6050708921670251,2
Qatar,B,3,1,0,2,5,7,-2,3,0.20905619999837113,3
Bosnia-Herzegovina,B,3,1,0,2,3,6,-3,3,0.3740006207077104,4
Brazil,C,3,2,1,0,3,1,2,7,0.8584724750128704,1
Scotland,C,3,1,1,1,3,3,0,4,0.5415049498239527,2
Morocco,C,3,1,0,2,3,3,0,3,0.6518009051626021,3
Haiti,C,3,1,0,2,1,3,-2,3,0.21316984438748454,4
Australia,D,3,2,0,1,5,3,2,6,0.45514110202053637,1
United States,D,3,2,0,1,3,1,2,6,0.5526527177875271,2
Paraguay,D,3,2,0,1,4,4,0,6,0.49911404477970267,3
Turkey,D,3,0,0,3,2,6,-4,0,0.6547524516628149,4
Germany,E,3,3,0,0,7,1,6,9,0.8816868965198582,1
Ivory Coast,E,3,2,0,1,5,4,1,6,0.5170034981224377,2
Curaçao,E,3,1,0,2,2,5,-3,3,0.14251529487576456,3
Ecuador,E,3,0,0,3,2,6,-4,0,0.5363032500319208,4
Sweden,F,3,2,0,1,5,5,0,6,0.5184604524386862,1
Netherlands,F,3,1,1,1,5,4,1,4,0.7101922269492615,2
Tunisia,F,3,1,1,1,3,3,0,4,0.32301844418563436,3
Japan,F,3,1,0,2,4,5,-1,3,0.6259759000530313,4
Iran,G,3,2,0,1,4,2,2,6,0.46228946674632015,1
Egypt,G,3,1,1,1,3,3,0,4,0.44996432194220803,2
Belgium,G,3,1,1,1,4,6,-2,4,0.7283149941578428,3
New Zealand,G,3,1,0,2,5,5,0,3,0.21297799511488025,4
Saudi Arabia,H,3,2,1,0,4,1,3,7,0.33778955595703714,1
Spain,H,3,1,2,0,8,4,4,5,0.8697827566271569,2
Uruguay,H,3,1,1,1,6,5,1,4,0.6194918520723782,3
Cape Verde,H,3,0,0,3,1,9,-8,0,0.2579974448507583,4
Senegal,I,3,3,0,0,7,1,6,9,0.6352075103066227,1
France,I,3,2,0,1,6,3,3,6,0.866622414650172,2
Iraq,I,3,1,0,2,3,7,-4,3,0.22692489523414894,3
Norway,I,3,0,0,3,1,6,-5,0,0.6391296173834277,4
Austria,J,3,2,1,0,3,0,3,7,0.6554083250939075,1
Argentina,J,3,1,1,1,2,2,0,4,0.892135885581854,2
Algeria,J,3,0,3,0,1,1,0,3,0.547259614738731,3
Jordan,J,3,0,1,2,0,3,-3,1,0.2625121257143115,4
Colombia,K,3,3,0,0,10,2,8,9,0.5935646974815141,1
Portugal,K,3,1,1,1,4,2,2,4,0.7877740957008963,2
Uzbekistan,K,3,1,1,1,3,3,0,4,0.32057274239524924,3
DR Congo,K,3,0,0,3,1,11,-10,0,0.4065531310468602,4
England,L,3,3,0,0,5,1,4,9,0.8610899007794638,1
Croatia,L,3,2,0,1,6,4,2,6,0.6428065173826917,2
Ghana,L,3,1,0,2,4,6,-2,3,0.31362662954076803,3
Panama,L,3,0,0,3,3,7,-4,0,0.2698242501712093,4
